Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
istituto comprensivo lina mandelli,10,10,210,16,0.00,https://www.scuoladvisor.it/scuole/30324/ic-lina-mandelliusmate-velate,1,4.54,0.00,0.07,3260,"[18,23,54,35,28,35,23,23,18,54,81,44]",2026-02-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
ic camponogara,33,33,170,16,0.00,https://www.scuoladvisor.it/veneto/camponogara/istituto-comprensivo,0,0,0.00,0,12700,"[23,23,15,18,18,18,15,11,18,81,54,35]",2026-03-03,"Knowledge panel, Image, Related searches",navigational,Organic
istituto alberti dante firenze,39,39,110,25,0.00,https://www.scuoladvisor.it/scuole/43271,0,0,0.00,0.01,340000,"[4,4,18,29,18,22,22,43,14,54,35,35]",2026-02-14,"Local pack, Video, Image, Related searches",navigational,Organic
istituto comprensivo novoli,20,20,590,29,0.00,https://www.scuoladvisor.it/puglia/novoli/istituto-comprensivo,0,0,0.00,0,0,"[45,45,45,36,36,30,6,8,55,62,45,30]",2026-03-10,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
istituto nautico di procida,37,37,90,19,0.00,https://www.scuoladvisor.it/campania/procida/istituto-tecnico-nautico,0,0,0.00,0,105,"[33,42,52,33,33,33,33,33,33,80,52,52]",2026-03-05,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ic palatucci campagna,40,40,110,25,0.00,https://www.scuoladvisor.it/scuole/13267/ic-palatucci-campagna,0,0,0.00,0,3590,"[17,28,28,28,28,23,28,17,43,66,28,35]",2026-02-12,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
itis rossi vicenza,62,62,260,21,0.00,https://www.scuoladvisor.it/scuole/35854,0,0,0.00,0.01,49300,"[17,21,17,32,17,26,32,26,21,59,32,32]",2026-02-15,"Knowledge panel, Video, Image, People also ask, Related searches",navigational,Organic
ic villanova mondovì,16,16,390,38,0.00,https://www.scuoladvisor.it/piemonte/villanova-mondovi/istituto-comprensivo,0,0,0.00,0,0,"[8,7,7,7,7,7,3,7,22,13,10,7]",2026-03-08,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
ic via maniago milano,24,24,110,26,0.00,https://www.scuoladvisor.it/scuole/22014,0,0,0.00,0,13000,"[26,53,34,34,34,100,42,26,26,65,53,53]",2026-03-04,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
liceo scienze umane macerata,78,78,90,20,0.00,https://www.scuoladvisor.it/scuole/43757,0,0,0.00,0.02,188000,"[65,65,42,26,26,34,26,26,19,19,26,53]",2026-02-25,"Knowledge panel, Video, Image, People also ask, Related searches","informational, navigational",Organic
ic castiglione,88,88,210,42,0.00,https://www.scuoladvisor.it/piemonte/castiglione-torinese/istituto-comprensivo,0,0,0.00,0,0,"[35,54,35,35,35,35,35,11,23,66,44,44]",2026-02-28,"Local pack, Sitelinks, Related searches",commercial,Organic
liceo lecce,67,67,90,42,0.00,https://www.scuoladvisor.it/puglia/lecce/liceo-scientifico,0,0,0.00,0,134,"[33,52,42,42,42,33,23,33,33,52,52,52]",2026-03-04,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",commercial,Organic
istituto comprensivo cogliate,44,44,390,16,0.00,https://www.scuoladvisor.it/lombardia/cogliate/istituto-comprensivo,0,0,0.00,0,0,"[36,44,44,44,54,54,36,44,81,54,36,15]",2026-03-11,"Local pack, Image, Related searches",navigational,Organic
iis severi correnti,31,31,1600,38,0.00,https://www.scuoladvisor.it/scuole/27642,0,0,0.00,0.08,11000,"[22,29,65,43,43,54,54,22,16,43,22,29]",2026-02-22,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
ic castelnovo sotto,36,36,110,20,0.00,https://www.scuoladvisor.it/emilia-romagna/castelnovo-di-sotto/istituto-comprensivo,0,0,0.00,0,13900,"[12,15,34,28,28,28,43,43,21,65,34,34]",2026-03-03,"Sitelinks, Video, Related searches",navigational,Organic
colozza cb,70,70,90,25,0.00,https://www.scuoladvisor.it/scuole/7894/colozza,0,0,0.00,0.33,20100,"[53,42,42,42,53,7,7,7,7,26,42,53]",2026-02-07,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches",navigational,Organic
istituto comprensivo di calusco d'adda,43,43,110,25,0.00,https://www.scuoladvisor.it/scuole/1470/sms-l-da-vinci-calusco,0,0,0.00,0.05,8410,"[28,34,34,28,43,34,21,21,53,53,53,43]",2026-03-19,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
licei artistici bari,41,41,590,27,1.16,https://www.scuoladvisor.it/puglia/bari/liceo-artistico,0,0,0.00,0.01,0,"[62,62,81,81,81,55,24,20,0,0,0,0]",2026-03-07,"Local pack, Video, Related searches",commercial,Organic
gino luzzatto portogruaro,24,24,140,31,0.00,https://www.scuoladvisor.it/scuole/45342/gino-luzzatto,0,0,0.00,0,7130,"[15,23,12,15,12,12,23,29,19,29,15,23]",2026-02-15,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
ic san sosti,31,31,1300,32,0.00,https://www.scuoladvisor.it/calabria/san-sosti/istituto-comprensivo,0,0,0.00,0,0,"[100,81,81,100,100,81,20,30,100,81,100,55]",2026-03-10,"Sitelinks, Related searches",navigational,Organic
ic fino mornasco,31,31,590,27,0.00,https://www.scuoladvisor.it/lombardia/fino-mornasco/scuola-primaria,0,0,0.00,0,13000,"[20,30,20,16,20,20,20,16,20,54,36,30]",2026-02-28,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
i c laparelli,18,18,390,25,0.00,https://www.scuoladvisor.it/scuole/35270/ic-via-f-laparelli-60,0,0,0.00,0,0,"[37,0,0,0,0,0,0,0,68,68,52,31]",2026-03-12,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
istituto comprensivo vidigulfo,51,51,590,17,0.00,https://www.scuoladvisor.it/lombardia/vidigulfo/scuola-primo-grado,0,0,0.00,0.01,0,"[41,24,20,20,30,20,16,24,54,36,5,2]",2026-03-07,"Knowledge panel, Related searches",navigational,Organic
istituto calasanzio roma,46,46,90,25,0.80,https://www.scuoladvisor.it/scuole/110783/scuola-materna-s-giuseppe-calasanzio,0,0,0.00,0.05,15600,"[26,26,34,26,26,34,34,19,26,53,42,34]",2026-02-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
martin luther king muggiò,28,28,210,32,0.00,https://www.scuoladvisor.it/scuole/18385,0,0,0.00,0.01,8670,"[10,12,12,19,12,15,29,44,19,67,19,23]",2026-02-12,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
liceo scientifico scalea,53,53,320,10,0.00,https://www.scuoladvisor.it/calabria/scalea/liceo-scientifico,0,0,0.00,0,0,"[20,16,16,8,7,13,13,16,52,25,20,7]",2026-03-10,"Knowledge panel, Video, Image, Related searches","informational, navigational",Organic
liceo scientifico scalea,64,64,320,10,0.00,https://www.scuoladvisor.it/calabria/scalea/liceo-scientifico,0,0,0.00,0,0,"[20,16,16,8,7,13,13,16,52,25,20,7]",2026-03-10,"Knowledge panel, Video, Image, Related searches","informational, navigational",Organic
ic sant ambrogio,60,60,170,27,0.00,https://www.scuoladvisor.it/scuole/33151,0,0,0.00,0,286000,"[34,53,65,53,53,65,65,34,21,100,81,65]",2026-02-25,"Local pack, Sitelinks, Related searches",navigational,Organic
istituto carlo porta erba,13,13,110,27,0.00,https://www.scuoladvisor.it/scuole/45330/liceo-statale-carlo-porta-erba,0,0,0.00,0,666000,"[28,23,35,28,17,28,17,12,7,28,43,53]",2026-02-07,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
scuole serali a firenze,75,75,90,10,1.43,https://www.scuoladvisor.it/scuole/26968/corso-serale,0,0,0.00,0.63,344000,"[29,52,82,52,52,41,64,52,64,64,41,41]",2026-02-07,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
ic cantu 2,39,39,210,27,0.00,https://www.scuoladvisor.it/scuole/27450,0,0,0.00,0,906000,"[17,21,21,21,21,26,17,14,11,48,39,21]",2026-02-12,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
ic santo cali,12,12,260,34,0.00,https://www.scuoladvisor.it/scuole/47533/ic-santo-cali,0,0,0.00,0,925000,"[44,66,66,54,35,44,44,6,8,66,66,54]",2026-02-06,"Local pack, Sitelinks, Related searches",navigational,Organic
ic noale,55,55,260,15,0.00,https://www.scuoladvisor.it/scuole/17512,0,0,0.00,0,29800,"[66,66,35,35,35,35,35,23,18,100,44,35]",2026-02-20,"Knowledge panel, Video, Image, Related searches",navigational,Organic
is ferdinando galiani,69,69,720,9,0.00,https://www.scuoladvisor.it/scuole/31613,0,0,0.00,0.07,141000,"[55,81,62,55,30,36,36,30,16,81,62,36]",2026-02-24,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
is ferdinando galiani,70,70,720,9,0.00,https://www.scuoladvisor.it/scuole/31613,0,0,0.00,0.07,141000,"[55,81,62,55,30,36,36,30,16,81,62,36]",2026-02-24,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
licei classico milano,87,87,260,28,0.59,https://www.scuoladvisor.it/lombardia/milano/liceo-classico,0,0,0.00,0.05,0,"[72,0,0,72,48,59,0,39,0,0,0,0]",2026-03-10,"Local pack, Related searches",commercial,Organic
ic italo calvino milano,77,77,140,21,0.00,https://www.scuoladvisor.it/scuole/3426,0,0,0.00,0,228000,"[28,28,23,28,23,23,23,23,23,82,53,35]",2026-02-15,"Knowledge panel, Video, Image, People also ask, Related searches",navigational,Organic
itc lazzari dolo,25,25,210,23,0.00,https://www.scuoladvisor.it/scuole/35478,0,0,0.00,0,2110,"[12,12,10,10,10,12,19,44,44,100,19,19]",2026-02-22,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
istituto comprensivo giuseppe garibaldi genazzano,22,22,260,25,0.00,https://www.scuoladvisor.it/scuole/11305,0,0,0.00,0.01,2470,"[54,54,54,54,43,66,66,29,18,81,81,66]",2026-02-21,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
istituto comprensivo ezio giacich,14,14,210,,0.00,https://www.scuoladvisor.it/scuole/49224/giacich-ezio,0,0,0.00,0.06,1150,"[35,35,29,35,35,66,66,22,29,100,43,43]",2026-02-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
istituto comprensivo ezio giacich,16,16,210,,0.00,https://www.scuoladvisor.it/scuole/49737/giacich-ezio,0,0,0.00,0.06,1150,"[35,35,29,35,35,66,66,22,29,100,43,43]",2026-02-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
istituto sant elia cantù,30,30,210,18,0.00,https://www.scuoladvisor.it/scuole/32394/tecnico-asantelia,0,0,0.00,0.02,14800,"[66,54,43,35,22,29,43,18,18,66,54,29]",2026-02-11,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
istituto alberghetti imola,30,30,210,28,0.00,https://www.scuoladvisor.it/scuole/1750,0,0,0.00,0.02,9720,"[8,13,13,13,13,8,16,13,10,36,20,24]",2026-02-13,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
istituto comprensivo castelnuovo don bosco,30,30,140,24,0.00,https://www.scuoladvisor.it/piemonte/castelnuovo-don-bosco/istituto-comprensivo,0,0,0.00,0,20100,"[18,29,22,22,22,22,22,29,35,54,29,29]",2026-02-28,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
convitto nazionale maria luigia,45,45,1000,32,0.00,https://www.scuoladvisor.it/scuole/29750/mluigia-parma-convitto-naz,0,0,0.00,0.09,21600,"[46,68,46,52,68,68,37,20,25,68,68,68]",2026-02-25,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
istituto di istruzione secondaria superiore gaetano salvemini,25,25,260,31,0.00,https://www.scuoladvisor.it/scuole/13427/itc-gaetano-salvemini,0,0,0.00,0.05,14600,"[28,35,44,35,66,35,44,15,35,81,35,44]",2026-02-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, navigational",Organic
istituto di istruzione secondaria superiore gaetano salvemini,33,33,260,31,0.00,https://www.scuoladvisor.it/scuole/13427/itc-gaetano-salvemini,0,0,0.00,0.05,14600,"[28,35,44,35,66,35,44,15,35,81,35,44]",2026-02-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, navigational",Organic
iis matteo ricci macerata,33,33,110,35,0.00,https://www.scuoladvisor.it/scuole/43757,0,0,0.00,0,8970,"[29,22,22,22,18,14,29,22,14,35,18,29]",2026-02-21,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
argentia gorgonzola,61,61,1300,38,2.44,https://www.scuoladvisor.it/scuole/17176,0,0,0.00,0.01,56100,"[22,29,20,16,13,20,29,20,29,65,54,54]",2026-02-22,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
scuole carducci livorno,65,65,210,18,0.00,https://www.scuoladvisor.it/scuole/23249,0,0,0.00,0,287000,"[6,13,10,10,8,13,16,10,10,36,16,13]",2026-02-13,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
permessi di studio 150 ore,75,75,720,10,0.00,https://www.scuoladvisor.it/notizie/permessi-per-il-diritto-allo-studio-150-ore-nella-scuola-guida-completa-per,0,0,0.00,0,0,"[11,46,46,25,31,25,16,0,52,68,100,37]",2026-03-11,"Video, Related searches, AI overview",informational,Organic
iis enzo ferrari roma,24,24,260,31,0.00,https://www.scuoladvisor.it/scuole/44911/enzo-ferrari,0,0,0.00,0.01,24100,"[13,16,20,30,24,24,16,13,10,36,24,20]",2026-02-07,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
ic est1,94,94,170,12,0.00,https://www.scuoladvisor.it/scuole/45927/ic-smaria-bambina-est1-brescia,0,0,0.00,0,242000,"[4,4,4,22,29,18,54,66,100,35,35,35]",2026-02-19,"Video, Related searches","informational, transactional",Organic
ic lacchiarella,15,15,880,29,0.00,https://www.scuoladvisor.it/lombardia/lacchiarella/istituto-comprensivo,0,0,0.00,0,0,"[41,24,36,36,41,36,5,7,54,54,54,30]",2026-03-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
istituto comprensivo cetraro,39,39,1300,14,0.00,https://www.scuoladvisor.it/calabria/cetraro/istituto-comprensivo,0,0,0.00,0,0,"[44,55,65,65,44,44,44,13,20,55,65,65]",2026-03-06,"Local pack, Image, Related searches",navigational,Organic
iis meroni,41,41,170,49,0.00,https://www.scuoladvisor.it/scuole/35528/gmeroni,0,0,0.00,0,8350,"[18,22,18,29,35,54,35,14,6,54,54,54]",2026-02-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
nostrorepaci,33,33,90,37,0.00,https://www.scuoladvisor.it/scuole/29129/ististrsup-l-nostrolrepaci,0,0,0.00,0,54700,"[5,3,3,3,20,5,16,3,0,0,3,20]",2026-02-12,"Local pack, Sitelinks, Video, Related searches",navigational,Organic
istituto comprensivo marano vicentino,19,19,320,28,0.00,https://www.scuoladvisor.it/veneto/marano-vicentino/istituto-comprensivo,0,0,0.00,0.01,5690,"[32,32,39,26,39,26,32,32,21,59,39,32]",2026-03-02,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
istituto comprensivo santa chiara enna,23,23,720,28,0.00,https://www.scuoladvisor.it/scuole/1650,0,0,0.00,0,12400,"[24,30,34,34,30,30,20,3,5,30,34,34]",2026-02-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ic monticelli d'ongina,22,22,170,23,0.00,https://www.scuoladvisor.it/emilia-romagna/monticelli-d-ongina/istituto-comprensivo,0,0,0.00,0,5810,"[23,35,28,28,18,23,23,15,23,81,44,28]",2026-03-02,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
liceo linguistico marco polo bari,88,88,90,19,0.00,https://www.scuoladvisor.it/scuole/16405,0,0,0.00,0,50700,"[26,42,42,26,19,19,26,42,34,53,42,65]",2026-02-20,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
istituto comprensivo filippo grimani,73,73,260,23,0.00,https://www.scuoladvisor.it/scuole/43633/f-grimani-marghera,0,0,0.00,0.07,3360,"[29,19,23,23,23,23,12,19,23,54,44,29]",2026-02-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
sraffa milano,49,49,170,25,0.00,https://www.scuoladvisor.it/scuole/42521,0,0,0.00,0,164000,"[15,19,19,15,12,15,23,19,23,100,36,19]",2026-03-03,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
pertini falcone via lentini,59,59,70,9,0.00,https://www.scuoladvisor.it/scuole/45107,0,0,0.00,0.33,9500,"[22,22,22,8,4,6,10,10,6,14,10,29]",2026-02-14,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
scuole superiori di bari,72,72,390,18,0.00,https://www.scuoladvisor.it/puglia/bari/istituto-superiore,0,0,0.00,0.01,0,"[66,66,66,54,29,44,44,36,54,66,54,44]",2026-03-11,"Local pack, Video, Image, Related searches",commercial,Organic
cap rovato brescia,34,34,110,23,0.00,https://www.scuoladvisor.it/scuole/40967,0,0,0.00,0,348000,"[66,52,52,52,66,66,52,52,33,42,66,42]",2026-02-07,"Instant answer, Video, Image, People also ask, Related searches",informational,Organic
istituto uccella,45,45,320,10,0.00,https://www.scuoladvisor.it/scuole/18990/iacuccella-smaria-cv,0,0,0.00,0.01,13100,"[48,59,59,48,32,32,17,11,7,17,21,21]",2026-03-01,"Local pack, Image, Related searches","commercial, navigational",Organic
istituto comprensivo cesari castel d azzano,21,21,170,24,0.00,https://www.scuoladvisor.it/scuole/1275,0,0,0.00,0,1360,"[23,35,15,28,18,35,35,11,15,54,23,23]",2026-02-21,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
istituto carlo dell acqua,85,85,140,33,0.00,https://www.scuoladvisor.it/scuole/25460/c-dellacqua,0,0,0.00,0.01,3980000,"[9,14,11,9,7,9,11,14,9,39,26,17]",2026-02-10,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
istituto comprensivo ennio galice civitavecchia,35,35,210,35,0.00,https://www.scuoladvisor.it/scuole/11628,0,0,0.00,0,1720,"[43,81,100,100,65,100,53,9,12,81,100,100]",2026-02-19,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
ic castrolibero,39,39,1000,28,0.00,https://www.scuoladvisor.it/calabria/castrolibero/istituto-comprensivo,0,0,0.00,0.01,11500,"[24,24,30,30,30,30,44,20,24,100,55,34]",2026-02-28,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
istituto comprensivo melendugno,44,44,260,20,0.00,https://www.scuoladvisor.it/scuole/11578,0,0,0.00,0,7660,"[44,44,44,54,44,44,29,12,15,29,66,36]",2026-02-24,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
ic cosola,14,14,90,20,0.00,https://www.scuoladvisor.it/scuole/8100,0,0,0.00,0,8260,"[2,2,2,2,2,15,15,2,10,36,15,12]",2026-02-11,"Local pack, Sitelinks, Related searches",navigational,Organic
icnoceto,16,16,90,40,0.00,https://www.scuoladvisor.it/scuole/17897,0,0,0.00,0,1990,"[26,42,42,42,26,42,42,19,11,34,42,34]",2026-02-14,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
liceo scientifico milano,92,92,1600,18,0.48,https://www.scuoladvisor.it/lombardia/milano/liceo-scientifico,0,0,0.00,0.06,0,"[36,43,36,36,36,20,29,20,20,36,36,43]",2026-03-06,"Local pack, Video, Image, Related searches",commercial,Organic
ic teresa mattei,25,25,140,25,0.00,https://www.scuoladvisor.it/scuole/27118/teresa-mattei,0,0,0.00,0,126000,"[15,35,18,23,23,18,28,23,18,44,23,28]",2026-02-28,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
istituto comprensivo taviano,36,36,260,34,0.00,https://www.scuoladvisor.it/puglia/taviano/istituto-comprensivo,0,0,0.00,0.01,11800,"[23,66,44,44,28,54,81,35,35,54,28,18]",2026-03-05,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
istituto comprensivo zumbini cosenza,52,52,170,14,0.00,https://www.scuoladvisor.it/scuole/46146/cosenza-i-zumbini,0,0,0.00,0,2310,"[15,19,23,29,23,29,23,19,15,44,29,23]",2026-02-19,"Knowledge panel, Video, Image, People also ask, Related searches",navigational,Organic
federico 2 capua,72,72,110,32,0.00,https://www.scuoladvisor.it/scuole/27382/isis-federico-ii,0,0,0.00,0,1480000,"[17,17,17,17,12,12,12,12,23,100,43,28]",2026-02-11,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
istituto comprensivo nicolini,44,44,70,18,0.00,https://www.scuoladvisor.it/scuole/14448/na-ic-nicolini-di-giacomo-infan,0,0,0.00,0.33,20200,"[7,42,42,7,7,42,34,19,26,53,19,7]",2026-02-10,"Video, Related searches",informational,Organic
itetvarese,24,24,880,30,0.00,https://www.scuoladvisor.it/scuole/17853,0,0,0.00,0,2200,"[30,34,5,7,3,34,34,3,3,100,55,34]",2026-02-14,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
i.c. donatello,43,43,880,30,0.00,https://www.scuoladvisor.it/scuole/29317,0,0,0.00,0,337000,"[55,16,0,0,0,0,0,0,0,100,100,82]",2026-02-24,"Local pack, Sitelinks, Video, Related searches",navigational,Organic
liceo luciano manara,39,39,90,30,0.00,https://www.scuoladvisor.it/scuole/49940/manara,0,0,0.00,0.01,33100,"[26,26,34,19,15,26,19,42,53,80,42,53]",2026-02-21,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
istituto comprensivo monteprandone,26,26,390,23,0.00,https://www.scuoladvisor.it/marche/monteprandone/istituto-comprensivo,0,0,0.00,0,0,"[25,25,25,20,20,20,13,11,31,31,20,16]",2026-03-09,"Knowledge panel, Related searches",navigational,Organic
ic bellusco,57,57,90,12,0.00,https://www.scuoladvisor.it/lombardia/bellusco/istituto-comprensivo,0,0,0.00,0,10700,"[2,2,2,2,2,19,29,23,23,29,9,12]",2026-03-02,"Knowledge panel, Video, Image, People also ask, Related searches","informational, navigational",Organic
liceo scientifico jesi,59,59,1300,19,0.00,https://www.scuoladvisor.it/marche/jesi/liceo-scientifico,0,0,0.00,0,0,"[36,29,36,29,29,29,16,16,54,43,29,36]",2026-03-10,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
